Period,SA0,pct_inflation,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,Constant
1958-02-01,28.6,0.0,0,1,0,0,0,0,0,0,0,0,0,1.0
1958-03-01,28.8,0.6968669316093301,0,0,1,0,0,0,0,0,0,0,0,1.0
1958-04-01,28.9,0.3466207976486224,0,0,0,1,0,0,0,0,0,0,0,1.0
1958-05-01,28.9,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0
1958-06-01,28.9,0.0,0,0,0,0,0,1,0,0,0,0,0,1.0
1958-07-01,29.0,0.34542348680877133,0,0,0,0,0,0,1,0,0,0,0,1.0
1958-08-01,28.9,-0.34542348680877133,0,0,0,0,0,0,0,1,0,0,0,1.0
1958-09-01,28.9,0.0,0,0,0,0,0,0,0,0,1,0,0,1.0
1958-10-01,28.9,0.0,0,0,0,0,0,0,0,0,0,1,0,1.0
1958-11-01,29.0,0.34542348680877133,0,0,0,0,0,0,0,0,0,0,1,1.0
1958-12-01,28.9,-0.34542348680877133,0,0,0,0,0,0,0,0,0,0,0,1.0
1959-01-01,29.0,0.34542348680877133,1,0,0,0,0,0,0,0,0,0,0,1.0
1959-02-01,28.9,-0.34542348680877133,0,1,0,0,0,0,0,0,0,0,0,1.0
1959-03-01,28.9,0.0,0,0,1,0,0,0,0,0,0,0,0,1.0
1959-04-01,29.0,0.34542348680877133,0,0,0,1,0,0,0,0,0,0,0,1.0
1959-05-01,29.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0
1959-06-01,29.1,0.3442344190972779,0,0,0,0,0,1,0,0,0,0,0,1.0
1959-07-01,29.2,0.34305350967889225,0,0,0,0,0,0,1,0,0,0,0,1.0
1959-08-01,29.2,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0
1959-09-01,29.3,0.34188067487859186,0,0,0,0,0,0,0,0,1,0,0,1.0
1959-10-01,29.4,0.3407158321614201,0,0,0,0,0,0,0,0,0,1,0,1.0
1959-11-01,29.4,0.0,0,0,0,0,0,0,0,0,0,0,1,1.0
1959-12-01,29.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0
1960-01-01,29.3,-0.3407158321614201,1,0,0,0,0,0,0,0,0,0,0,1.0
1960-02-01,29.4,0.3407158321614201,0,1,0,0,0,0,0,0,0,0,0,1.0
1960-03-01,29.4,0.0,0,0,1,0,0,0,0,0,0,0,0,1.0
1960-04-01,29.5,0.3395589001138344,0,0,0,1,0,0,0,0,0,0,0,1.0
1960-05-01,29.5,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0
1960-06-01,29.6,0.33840979842403307,0,0,0,0,0,1,0,0,0,0,0,1.0
1960-07-01,29.6,0.0,0,0,0,0,0,0,1,0,0,0,0,1.0
1960-08-01,29.6,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0
1960-09-01,29.6,0.0,0,0,0,0,0,0,0,0,1,0,0,1.0
1960-10-01,29.8,0.6734032181344052,0,0,0,0,0,0,0,0,0,1,0,1.0
1960-11-01,29.8,0.0,0,0,0,0,0,0,0,0,0,0,1,1.0
1960-12-01,29.8,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0
1961-01-01,29.8,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0
1961-02-01,29.8,0.0,0,1,0,0,0,0,0,0,0,0,0,1.0
1961-03-01,29.8,0.0,0,0,1,0,0,0,0,0,0,0,0,1.0
1961-04-01,29.8,0.0,0,0,0,1,0,0,0,0,0,0,0,1.0
1961-05-01,29.8,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0
1961-06-01,29.8,0.0,0,0,0,0,0,1,0,0,0,0,0,1.0
1961-07-01,30.0,0.6688988150796771,0,0,0,0,0,0,1,0,0,0,0,1.0
1961-08-01,29.9,-0.33389012655149486,0,0,0,0,0,0,0,1,0,0,0,1.0
1961-09-01,30.0,0.33389012655149486,0,0,0,0,0,0,0,0,1,0,0,1.0
1961-10-01,30.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1.0
1961-11-01,30.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1.0
1961-12-01,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0
1962-01-01,30.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0
1962-02-01,30.1,0.33277900926744763,0,1,0,0,0,0,0,0,0,0,0,1.0
1962-03-01,30.1,0.0,0,0,1,0,0,0,0,0,0,0,0,1.0
1962-04-01,30.2,0.3316752625993846,0,0,0,1,0,0,0,0,0,0,0,1.0
1962-05-01,30.2,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0
1962-06-01,30.2,0.0,0,0,0,0,0,1,0,0,0,0,0,1.0
1962-07-01,30.3,0.33057881344995543,0,0,0,0,0,0,1,0,0,0,0,1.0
1962-08-01,30.3,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0
1962-09-01,30.4,0.3294895896852612,0,0,0,0,0,0,0,0,1,0,0,1.0
1962-10-01,30.4,0.0,0,0,0,0,0,0,0,0,0,1,0,1.0
1962-11-01,30.4,0.0,0,0,0,0,0,0,0,0,0,0,1,1.0
1962-12-01,30.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0
1963-01-01,30.4,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0
1963-02-01,30.4,0.0,0,1,0,0,0,0,0,0,0,0,0,1.0
1963-03-01,30.5,0.32840752011900065,0,0,1,0,0,0,0,0,0,0,0,1.0
1963-04-01,30.5,0.0,0,0,0,1,0,0,0,0,0,0,0,1.0
1963-05-01,30.5,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0
1963-06-01,30.6,0.3273325344969269,0,0,0,0,0,1,0,0,0,0,0,1.0
1963-07-01,30.7,0.32626456348161526,0,0,0,0,0,0,1,0,0,0,0,1.0
1963-08-01,30.7,0.0,0,0,0,0,0,0,0,1,0,0,0,1.0
1963-09-01,30.7,0.0,0,0,0,0,0,0,0,0,1,0,0,1.0
1963-10-01,30.8,0.32520353863776386,0,0,0,0,0,0,0,0,0,1,0,1.0
1963-11-01,30.8,0.0,0,0,0,0,0,0,0,0,0,0,1,1.0
1963-12-01,30.9,0.3241493924170502,0,0,0,0,0,0,0,0,0,0,0,1.0
